walking,running,color,distance_walked,dogs_cats
1,1,red,1,1
1,1,blue,2,1
1,1,green,3,1
1,1,blue,4,1
1,1,blue,5,1
1,1,red,6,1
1,1,green,7,1
1,1,green,8,1
1,1,blue,9,1
1,1,red,1,1
1,1,blue,2,1
1,1,blue,3,1
1,1,red,4,1
1,1,blue,5,1
1,1,green,6,1
1,1,red,7,1
1,1,green,8,1
1,1,blue,9,1
1,1,red,1,1
1,1,red,2,1
1,1,green,3,1
1,1,green,4,1
1,1,green,5,1
1,1,blue,6,1
1,1,green,7,1
1,1,blue,8,1
1,1,red,9,1
1,1,green,1,1
1,1,blue,2,0
1,1,red,3,0
1,1,red,4,0
1,1,red,5,0
1,1,red,6,0
1,1,red,7,0
1,1,green,8,0
1,1,red,9,0
1,1,blue,1,0
1,1,green,2,0
1,1,green,3,0
1,1,blue,4,0
1,1,red,5,0
1,1,blue,6,0
1,1,green,7,0
1,1,blue,8,0
1,1,blue,9,0
1,1,blue,1,0
1,1,green,2,0
1,1,red,3,0
1,0,blue,4,0
1,0,blue,5,0
1,0,green,6,0
1,0,red,7,0
1,0,green,8,0
1,0,red,9,0
1,0,green,1,0
1,0,green,2,0
1,0,blue,3,1
1,0,red,4,1
1,0,red,5,1
1,0,blue,6,1
1,0,red,7,1
1,0,green,8,1
1,0,blue,9,1
1,0,red,1,1
1,0,red,2,1
1,0,blue,3,1
1,0,red,4,1
1,0,red,5,1
1,0,blue,6,1
1,0,blue,7,1
1,0,red,8,1
1,0,blue,9,1
1,0,red,1,1
1,0,red,2,1
1,0,red,3,1
1,0,red,4,0
1,0,blue,5,0
1,0,red,6,0
1,0,green,7,0
1,0,blue,8,0
1,0,green,9,0
1,0,blue,1,0
1,0,blue,2,0
1,0,green,3,0
1,0,red,4,0
1,0,blue,5,0
1,0,green,6,0
1,0,blue,7,0
1,0,green,8,0
1,0,blue,9,0
1,0,green,1,0
1,0,blue,2,0
1,0,red,3,0
1,0,green,4,0
1,0,blue,5,0
1,0,red,6,0
1,0,green,7,0
1,0,green,8,0
1,1,green,9,1
0,1,blue,1,1
0,1,blue,2,1
0,1,red,3,1
0,1,green,4,1
0,1,green,5,1
0,1,red,6,1
0,1,red,7,1
0,1,green,8,1
0,1,blue,9,1
0,1,blue,1,1
0,1,blue,2,1
0,1,red,3,1
0,1,blue,4,1
0,1,blue,5,1
0,1,green,6,1
0,1,red,7,1
0,1,blue,8,0
0,1,red,9,0
0,1,green,1,0
0,1,blue,2,0
0,1,green,3,0
0,1,green,4,0
0,1,blue,5,0
0,1,blue,6,0
0,1,blue,7,0
0,1,blue,8,0
0,1,red,9,0
0,1,green,1,0
0,1,green,2,0
0,1,green,3,0
0,1,green,4,0
0,1,blue,5,0
0,1,blue,6,0
0,1,blue,7,0
0,1,green,8,0
0,1,green,9,0
0,1,blue,1,0
0,1,green,2,0
0,1,green,3,0
0,1,blue,4,0
0,1,blue,5,0
0,1,blue,6,0
0,1,red,7,0
0,1,red,8,0
0,1,red,9,0
0,1,green,1,0
0,1,red,2,0
0,1,blue,3,0
0,1,green,4,0
0,1,blue,5,0
0,0,green,6,0
0,0,red,7,0
0,0,blue,8,0
0,0,green,9,0
0,0,blue,1,0
0,0,green,2,0
0,0,green,3,0
0,0,green,4,0
0,0,red,5,0
0,0,green,6,0
0,0,blue,7,0
0,0,red,8,0
0,0,blue,9,0
0,0,green,1,0
0,0,red,2,0
0,0,red,3,0
0,0,blue,4,0
0,0,blue,5,0
0,0,red,6,0
0,0,blue,7,0
0,0,red,8,0
0,0,green,9,0
0,0,blue,1,0
0,0,blue,2,0
0,0,red,3,0
0,0,green,4,0
0,0,green,5,0
0,0,green,6,0
0,0,blue,7,0
0,0,blue,8,0
0,0,green,9,0
0,0,green,1,0
0,0,green,2,0
0,0,red,3,0
0,0,green,4,0
0,0,blue,5,0
0,0,green,6,0
0,0,blue,7,0
0,0,green,8,0
0,0,red,9,0
0,0,green,1,0
0,0,blue,2,0
0,0,green,3,0
0,0,blue,4,0
0,0,red,5,0
0,0,red,6,0
0,0,green,7,0
0,0,green,8,0
0,0,red,9,0
0,0,blue,1,0